pid,label,identifier,title,creator,date,description,subject,ancho,alto,medium,order,layout,collection,thumbnail,full,manifest
Hombreconnino,1,FT1948,Sin título,Ida Esbra,1976,"Artesano, niño, Barranquilla",Fotografía Colombia; Antropología,26,30,Gelatina de plata,00,plantilla_item,america,"/img/derivatives/iiif/images/Hombreconnino/full/250,/0/default.jpg","/img/derivatives/iiif/images/Hombreconnino/full/1140,/0/default.jpg",/img/derivatives/iiif/Hombreconnino/manifest.json
callerebolo1,2,FT1948,Huellas,Ida Esbra,1976,Calle Rebolo 1,Fotografía; Barranquilla(Atlántico); Barrio Rebolo,21,26,ft sobre papel,01,plantilla_item,america,"/img/derivatives/iiif/images/callerebolo1/full/250,/0/default.jpg","/img/derivatives/iiif/images/callerebolo1/full/1140,/0/default.jpg",/img/derivatives/iiif/callerebolo1/manifest.json
Camion,3,FT1948,Serie Huellas. Sin título,Ida Esbra,1976,Camión Patio. El material gráfico corresponden al periodo huellas entre 1975-1989, Barranquilla(Atlántico); Barrio Rebolo,21,26,ft sobre papel,02,plantilla_item,america,"/img/derivatives/iiif/images/Camion/full/250,/0/default.jpg","/img/derivatives/iiif/images/Camion/full/1140,/0/default.jpg",/img/derivatives/iiif/Camion/manifest.json
callerebolo2,4,FT1948,Serie Huellas. Sin título,Ida Esbra,1976,Calle Rebolo 2,Fotografía; Condiciones sociales Barranquilla(Atlántico); Barrio Rebolo,21,26,ft sobre papel,03,plantilla_item,america,"/img/derivatives/iiif/images/callerebolo2/full/250,/0/default.jpg","/img/derivatives/iiif/images/callerebolo2/full/1140,/0/default.jpg",/img/derivatives/iiif/callerebolo2/manifest.json
CasaPrado,5,FT1948,Serie Huellas. Sin título,Ida Esbra,1976,Casa Barrio El Prado,Arquitectura;  Barranquilla(Atlántico); Barrio El Prado,21,26,ft sobre papel,04,plantilla_item,america,"/img/derivatives/iiif/images/CasaPrado/full/250,/0/default.jpg","/img/derivatives/iiif/images/CasaPrado/full/1140,/0/default.jpg",/img/derivatives/iiif/CasaPrado/manifest.json
VistaBarranquilla,6,FT1948,Sin título,Ida Esbra,1977,Vista Barranquilla. Construcción. Río Magdalena. ,Arquitectura; Barranquilla(Atlántico),26,30,Gelatina de plata sobre papel baritado,05,plantilla_item,america,"/img/derivatives/iiif/images/VistaBarranquilla/full/250,/0/default.jpg","/img/derivatives/iiif/images/VistaBarranquilla/full/1140,/0/default.jpg",/img/derivatives/iiif/VistaBarranquilla/manifest.json
casaconcamion,7,FT1948,Serie Huellas. Sin título,Ida Esbra,1976,Casa con camión. Barrio Rebolo.  ,Fotografía; Barranquilla(Atlántico); Barrio Rebolo,21,26,Gelatina de plata sobre papel baritado,06,plantilla_item,america,"/img/derivatives/iiif/images/casaconcamion/full/250,/0/default.jpg","/img/derivatives/iiif/images/casaconcamion/full/1140,/0/default.jpg",/img/derivatives/iiif/casaconcamion/manifest.json
hombrebarril,8,FT1948,Serie Huellas. Sin título,Ida Esbra,1976,"Hombre empujando barril, cargando cajas",Fotografía; Barranquilla(Atlántico); Barrio Rebolo,21,26,Gelatina de plata sobre papel baritado,07,plantilla_item,america,"/img/derivatives/iiif/images/hombrebarril/full/250,/0/default.jpg","/img/derivatives/iiif/images/hombrebarril/full/1140,/0/default.jpg",/img/derivatives/iiif/hombrebarril/manifest.json
hombrecascos,9,FT1948,Serie Huellas. Sin título,Ida Esbra,1977,Hombre herrando," Afrodescendientes -- Fotografías Barranquilla (Atlántico, Colombia) Negros -- Condiciones sociales -- Fotografías",26,30,Gelatina de plata sobre papel baritado,08,plantilla_item,america,"/img/derivatives/iiif/images/hombrecascos/full/250,/0/default.jpg","/img/derivatives/iiif/images/hombrecascos/full/1140,/0/default.jpg",/img/derivatives/iiif/hombrecascos/manifest.json
Hombrepaja,10,FT1948,Serie Huellas. Sin título,Ida Esbra,1977,Artesano cargando paja," Afrodescendientes -- Fotografías Barranquilla (Atlántico, Colombia) Negros -- Condiciones sociales -- Fotografías",21,26,ft sobre papel,09,plantilla_item,america,"/img/derivatives/iiif/images/Hombrepaja/full/250,/0/default.jpg","/img/derivatives/iiif/images/Hombrepaja/full/1140,/0/default.jpg",/img/derivatives/iiif/Hombrepaja/manifest.json
Fajadaksa,11,FT1948,Serie Huellas. Sin título,Ida Esbra,1977,Fachada casa,Arquitectura; Barranquilla(Atlántico); Barrio Rebolo,21,26,Gelatina de plata sobre papel baritado,10,plantilla_item,america,"/img/derivatives/iiif/images/Fajadaksa/full/250,/0/default.jpg","/img/derivatives/iiif/images/Fajadaksa/full/1140,/0/default.jpg",/img/derivatives/iiif/Fajadaksa/manifest.json
Patioconperro,12,FT1948,Huellas,Ida Esbra,1976,Patio casa con perro. Barrio Rebololo," Afrodescendientes -- Fotografías Barranquilla (Atlántico, Colombia) Negros -- Condiciones sociales -- Fotografías",21,26,ft sobre papel,11,plantilla_item,america,"/img/derivatives/iiif/images/Patioconperro/full/250,/0/default.jpg","/img/derivatives/iiif/images/Patioconperro/full/1140,/0/default.jpg",/img/derivatives/iiif/Patioconperro/manifest.json
Tendedero,14,FT1948,Serie Huellas. Sin título,Ida Esbra,1977,Tendedero de ropa. Barrio Rebolo, Barranquilla(Atlántico); Barrio Rebolo,21,26,ft sobre papel,12,plantilla_item,america,"/img/derivatives/iiif/images/Tendedero/full/250,/0/default.jpg","/img/derivatives/iiif/images/Tendedero/full/1140,/0/default.jpg",/img/derivatives/iiif/Tendedero/manifest.json
Fachadavarias,15,FT1948,Serie Huellas. Sin título,Ida Esbra,1977,Fachadas casas. calle Rebolo, Barranquilla(Atlántico); Barrio Rebolo,21,26,Gelatina de plata sobre papel baritado,13,plantilla_item,america,"/img/derivatives/iiif/images/Fachadavarias/full/250,/0/default.jpg","/img/derivatives/iiif/images/Fachadavarias/full/1140,/0/default.jpg",/img/derivatives/iiif/Fachadavarias/manifest.json
VistaAvenida,16,FT1948,Serie Huellas. Sin título,Ida Esbra,1977,Av Barranquilla,Fotografía; Barranquilla(Atlántico); Barrio Rebolo,21,26,Gelatina de plata sobre papel baritado,14,plantilla_item,america,"/img/derivatives/iiif/images/VistaAvenida/full/250,/0/default.jpg","/img/derivatives/iiif/images/VistaAvenida/full/1140,/0/default.jpg",/img/derivatives/iiif/VistaAvenida/manifest.json
Mesaconplantas,17,FT1949,Sin título,Ida Esbra,1977,"patio, casa",Fotografía; Barranquilla(Atlántico); Barrio Rebolo,21,26,ft sobre papel,15,plantilla_item,america,"/img/derivatives/iiif/images/Mesaconplantas/full/250,/0/default.jpg","/img/derivatives/iiif/images/Mesaconplantas/full/1140,/0/default.jpg",/img/derivatives/iiif/Mesaconplantas/manifest.json
